Role of natural killer cells in innate protection against lethal Ebola virus infection.,2004-11-23,"I.p. or i.m. administration of non-replicating <b>Ebola</b> virus-like particles (VLP) containing the glycoprotein (GP) and matrix protein virus protein (VP40) induced protective immunity in mice challenged with <b>Ebola</b> virus. Innate protection against <b>Ebola</b> virus required NK cells. <b>Ebola</b> VLPs induced strong NK cytotoxic activity, as well as cytokine and chemokine secretion. NK cell-mediated protection against <b>Ebola</b> virus was perforin dependent, but did not depend on interferon-gamma secretion. Particles containing...",0.39388090966436723,positive
A DNA vaccine for the prevention of Ebola virus infection.,2008-07-03,"A DNA vaccine for the prevention of <b>Ebola</b> virus infection is reviewed with respect to: synthesis and SAR; preclinical development; toxicities; metabolism and pharmacokinetics; clinical development; and side effects and contraindications. Vaccines discussed are gamma-irradiated whole <b>Ebola</b> virus, inactivated <b>Ebola</b> virus, DNA vaccine, VRC-EBODNA012-00-VP, Vical's DNA vaccine, <b>Ebola</b> virus Zaire GP, <b>Ebola</b> virus Zaire GP and NP, <b>Ebola</b> virus DNA vaccine, rAd5-baed...",0,neutral
Minireview. Ebola Virus Pathogenesis: implications for vaccines and therapies.,2003-11-12,"The pathogenesis of the <b>Ebola</b> virus is reviewed with reference to implications for vaccines and therapies. <b>Ebola</b> virus disease progression, structure and classification of the <b>Ebola</b> virus, the immune response to <b>Ebola</b> virus infection and vaccine development are discussed. Live attenuated viruses and recombinant proteins have been used successfully in many experimental <b>Ebola</b> virus vaccines. However, gene-based vaccines are becoming an increasingly attractive option. DNA vaccines have been highly effective...",0.6869351552719833,positive
Accelerated vaccination for Ebola virus haemorrhagic fever in non-human primates.,2003-08-19,"I.m. vaccination with adenoviral (ADV) vector encoding the <b>Ebola</b> glycoprotein (GP) or nucleoprotein (NP) protected monkeys against lethal challenge with <b>Ebola</b> virus infection. Protection was highly effective and was correlated with the generation of Eloba-specific CD8+ T-cell and Ab responses. Even a single ADV-GP/NP injection protected against viral challenge. Results suggest that this accelerated vaccine provides an intervention that may help to limit the epidemic spread of <b>Ebola</b>, and is applicable to other viruses.",-0.20324612411521528,negative
Treatment of Ebola virus infection with a recombinant inhibitor of factor VIIa/tissue factor: a study in rhesus monkeys.,2004-01-15,"In a rhesus macaque model of <b>Ebola</b> hemorrhagic fever, s.c. recombinant nematode anticoagulant protein c2 (rNAPc2), a potent...factor-initiated blood coagulation, administered 10 min or 24 hr after lethal injection of <b>Ebola</b> virus prolonged survival time. RNAPc2 attenuated the coagulation response. Furthermore...in the treated than the untreated macaques. Post-exposure protection with rNAPc2 against <b>Ebola</b> virus in primates provides a new foundation for therapeutic regimens that target the disease...",-0.05240471683243253,neutral
Recombinant Vesicular Stomatitis Virus-Based Vaccines Against Ebola and Marburg Virus Infections.,2012-04-25,"Recombinant vesicular stomatitis virus-based vaccines against <b>Ebola</b> and Marburg virus infections are reviewed with reference to: <b>Ebola</b> and Marburg viruses; recombinant vesicular stomatitis virus as a vaccine vector for filoviruses; recombinant vesicular...vesicular stomatitis virus-based filovirus vaccines. Vaccines discussed are recombinant vesicular stomatitis virus based <b>Ebola</b> virus vaccine, recombinant vesicular stomatitis virus deltaG Marburg virus-Musoke glycoprotein vaccine, and recombinant...",0,neutral
Inhibition of Ebola Virus Replication In-Vitro and in a SCID Mouse Model by S-Adenosylhomocysteine Hydrolase Inhibitors.,1991-01-01,"In-vitro, antiviral activity of S-adenosylhomocysteine hydrolase inhibitors against <b>Ebola</b> hemorrhagic fever virus was assessed in Vero E-6 or FRL-103 cells by monoclonal ELISA...only the immune-deficient SCID mouse produced a lethal infection. Infection with <b>Ebola</b> virus (Mayinga strain) produced a uniformly lethal infection, but no hemorrhagic...studies with carbocyclic 3-deazaadenosine and 3-deazaneplanocin A, potent inhibitors of <b>Ebola</b> in-vitro, resulted in increased mean time to death and delay in virus replication...",-0.4168995496815525,negative
Preparation and use of hyperimmune serum for prophylaxis and therapy of Ebola virus infections.,1999-04-23,"Anti-<b>Ebola</b> virus immunoglobulins obtained from goats were used to treat 4 subjects suspected of being infected with the <b>Ebola</b> virus. In 3 cases, the i.m. immunoglobulin injections were combined with injections of recombinant alpha-2-interferon. The case of 1 subject is described in detail. This subject had a suspected case of accidental <b>Ebola</b> virus infection and was given anti-<b>Ebola</b> virus goat immunoglobulin. He completely recovered, but it was unclear whether...",-0.19125600738745077,negative
Protective efficacy of neutralizing antibodies against Ebola virus infection.,2007-05-01,"Although passive transfer of <b>Ebola</b> virus glycoprotein (GP)-specific Ab has been evaluated in mouse and guinea pig models...distinct from those of the Ab tested by others. I.p. treatment with these Ab 2 days after i.p. <b>Ebola</b> virus challenge completely protected most mice. Although i.p. Ab treatment in guinea pigs...as in mice, single-dose treatment of guinea pigs 1 day before, or 1 or 2 days after i.p. <b>Ebola</b> virus challenge did protect some animals. The protective effects seen in these animal models...",0,neutral
Treatment of lethal Ebola virus infection in mice with a single dose of an S-adenosyl- L-homocysteine hydrolase inhibitor.,2000-06-09,"The effect was studied of a single inoculation of carbocyclic 3-deazaadenosine (C-c3Ado; 3-deazaaristeromycin) or 3-deazaneplanocin-A in mice challenged with <b>Ebola</b>-Zaire virus. The drugs protected mice from virus challenge, without causing acute toxicity. Single or multiple doses of the same medications suppressed <b>Ebola</b> replication in severe combined immunodeficient mice (SCID), repeated daily treatment did not eliminate the infection. It is suggested that these compounds may form part of a regimen for the treatment of <b>Ebola</b> virus.",0.029717305232710767,neutral
